fecha,ICA,municipio,modelo,tipo,RMSE,MAE,MSE,ICA_real,ICA_7
2025-02-08,35,ALGETE,prophet_30,real,9.0,5,29,35,35.0
2025-02-09,85,ALGETE,prophet_30,real,9.0,5,23,85,85.0
2025-02-10,45,ALGETE,prophet_30,real,9.0,8,58,45,45.0
2025-02-11,51,ALGETE,prophet_30,real,9.0,2,4,51,51.0
2025-02-12,35,ALGETE,prophet_30,real,9.0,5,27,35,35.0
2025-02-13,50,ALGETE,prophet_30,real,9.0,4,15,50,50.0
2025-02-14,42,ALGETE,prophet_30,real,9.0,7,56,42,42.0
2025-02-15,42,ALGETE,prophet_30,real,9.0,8,70,42,42.0
2025-02-16,37,ALGETE,prophet_30,real,9.0,2,4,37,37.0
2025-02-17,30,ALGETE,prophet_30,real,9.0,11,117,30,30.0
2025-02-18,42,ALGETE,prophet_30,real,9.0,8,57,42,42.0
2025-02-19,62,ALGETE,prophet_30,real,9.0,4,18,62,62.0
2025-02-20,37,ALGETE,prophet_30,real,9.0,14,186,37,37.0
2025-02-21,41,ALGETE,prophet_30,real,9.0,8,62,41,41.0
2025-02-22,37,ALGETE,prophet_30,real,9.0,0,0,37,37.0
2025-02-23,35,ALGETE,prophet_30,real,9.0,1,1,35,35.0
2025-02-24,42,ALGETE,prophet_30,real,9.0,9,74,42,42.0
2025-02-25,36,ALGETE,prophet_30,real,9.0,3,9,36,36.0
2025-02-26,52,ALGETE,prophet_30,real,9.0,3,10,52,52.0
2025-02-27,45,ALGETE,prophet_30,real,9.0,5,27,45,45.0
2025-02-28,41,ALGETE,prophet_30,real,9.0,5,21,41,41.0
2025-03-01,48,ALGETE,prophet_30,predicción,22.0,22,484,70,48.0
2025-03-02,53,ALGETE,prophet_30,predicción,16.0,16,256,69,47.0
2025-03-03,57,ALGETE,prophet_30,predicción,7.0,7,49,64,45.0
2025-03-04,50,ALGETE,prophet_30,predicción,15.0,15,225,65,58.0
2025-03-05,57,ALGETE,prophet_30,predicción,7.0,7,49,64,55.0
2025-03-06,56,ALGETE,prophet_30,predicción,15.0,15,225,71,53.0
2025-03-07,57,ALGETE,prophet_30,predicción,8.0,8,64,65,54.0
2025-03-08,53,ALGETE,prophet_30,predicción,31.0,31,961,84,
